,2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment distribution, percent, 2021","Employment distribution, percent, 2031","Employment change, 2021–31","Percent employment change, 2021–31","Occupational openings, 2021–31 annual average"
364,Fashion designers,27-1022,Line item,22.4,23.0,0.0,0.0,0.6,2.5,2.3
365,Floral designers,27-1023,Line item,44.4,35.1,0.0,0.0,-9.3,-21.0,3.8
366,Graphic designers,27-1024,Line item,265.0,271.8,0.2,0.2,6.8,2.6,24.8
367,Interior designers,27-1025,Line item,93.3,94.2,0.1,0.1,0.8,0.9,8.2
368,Merchandise displayers and window trimmers,27-1026,Line item,161.6,169.1,0.1,0.1,7.5,4.6,20.1
369,Set and exhibit designers,27-1027,Line item,27.0,28.5,0.0,0.0,1.4,5.2,2.7
370,"Designers, all other",27-1029,Line item,42.9,43.9,0.0,0.0,1.0,2.4,4.0
373,Actors,27-2011,Line item,50.6,54.7,0.0,0.0,4.1,8.2,7.0
374,Producers and directors,27-2012,Line item,166.2,178.9,0.1,0.1,12.8,7.7,17.5
376,Athletes and sports competitors,27-2021,Line item,15.8,21.5,0.0,0.0,5.7,35.7,2.9
377,Coaches and scouts,27-2022,Line item,244.3,293.1,0.2,0.2,48.8,20.0,39.9
378,"Umpires, referees, and other sports officials",27-2023,Line item,13.2,17.4,0.0,0.0,4.2,31.7,3.6
380,Dancers,27-2031,Line item,6.2,7.7,0.0,0.0,1.5,24.5,1.3
381,Choreographers,27-2032,Line item,6.3,8.1,0.0,0.0,1.9,29.7,1.4
383,Music directors and composers,27-2041,Line item,55.8,58.5,0.0,0.0,2.7,4.9,5.8
384,Musicians and singers,27-2042,Line item,151.3,157.7,0.1,0.1,6.4,4.2,20.8
386,"Disc jockeys, except radio",27-2091,Line item,15.3,16.4,0.0,0.0,1.1,7.2,1.4
387,"Entertainers and performers, sports and related workers, all other",27-2099,Line item,33.5,39.9,0.0,0.0,6.4,19.0,4.7
389,Broadcast announcers and radio disc jockeys,27-3011,Line item,25.0,22.2,0.0,0.0,-2.8,-11.4,2.1
390,"News analysts, reporters, and journalists",27-3023,Line item,47.1,43.1,0.0,0.0,-4.1,-8.6,4.9
391,Public relations specialists,27-3031,Line item,276.8,299.2,0.2,0.2,22.3,8.1,27.4
393,Editors,27-3041,Line item,108.4,102.9,0.1,0.1,-5.5,-5.1,10.2
394,Technical writers,27-3042,Line item,55.4,58.4,0.0,0.0,3.1,5.5,5.4
395,Writers and authors,27-3043,Line item,142.8,148.7,0.1,0.1,5.9,4.1,15.2
397,Interpreters and translators,27-3091,Line item,69.4,83.4,0.0,0.1,14.0,20.2,9.2
398,Court reporters and simultaneous captioners,27-3092,Line item,18.5,18.7,0.0,0.0,0.3,1.4,2.0
399,"Media and communication workers, all other",27-3099,Line item,20.5,21.9,0.0,0.0,1.4,7.0,2.1
402,Audio and video technicians,27-4011,Line item,68.6,79.3,0.0,0.0,10.7,15.7,8.1
403,Broadcast technicians,27-4012,Line item,30.5,29.9,0.0,0.0,-0.6,-2.0,2.8
404,Sound engineering technicians,27-4014,Line item,15.2,16.3,0.0,0.0,1.1,7.5,1.6
405,Lighting technicians,27-4015,Line item,5.7,6.5,0.0,0.0,0.8,14.7,0.7
406,Photographers,27-4021,Line item,125.6,136.8,0.1,0.1,11.2,8.9,12.7
408,"Camera operators, television, video, and film",27-4031,Line item,33.7,36.7,0.0,0.0,3.0,8.9,3.7
409,Film and video editors,27-4032,Line item,48.1,54.7,0.0,0.0,6.6,13.8,5.7
410,"Media and communication equipment workers, all other",27-4099,Line item,20.7,21.7,0.0,0.0,1.0,5.0,2.1
413,Chiropractors,29-1011,Line item,53.2,58.7,0.0,0.0,5.5,10.4,2.1
415,"Dentists, general",29-1021,Line item,127.6,135.4,0.1,0.1,7.7,6.1,4.5
416,Oral and maxillofacial surgeons,29-1022,Line item,6.3,6.6,0.0,0.0,0.3,4.6,0.2
417,Orthodontists,29-1023,Line item,6.0,6.3,0.0,0.0,0.3,4.5,0.2
418,Prosthodontists,29-1024,Line item,0.9,1.0,0.0,0.0,0.0,5.1,0.0
419,"Dentists, all other specialists",29-1029,Line item,5.4,5.4,0.0,0.0,0.0,0.8,0.2
420,Dietitians and nutritionists,29-1031,Line item,74.7,79.7,0.0,0.0,5.1,6.8,5.6
421,Optometrists,29-1041,Line item,41.4,45.4,0.0,0.0,4.0,9.6,1.7
422,Pharmacists,29-1051,Line item,323.5,331.1,0.2,0.2,7.7,2.4,13.6
423,Physician assistants,29-1071,Line item,139.1,177.5,0.1,0.1,38.4,27.6,12.7
424,Podiatrists,29-1081,Line item,11.0,11.2,0.0,0.0,0.2,2.0,0.3
426,Occupational therapists,29-1122,Line item,133.9,152.5,0.1,0.1,18.6,13.9,10.1
427,Physical therapists,29-1123,Line item,238.8,279.2,0.2,0.2,40.4,16.9,15.4
428,Radiation therapists,29-1124,Line item,16.4,17.5,0.0,0.0,1.0,6.3,0.8
429,Recreational therapists,29-1125,Line item,17.6,18.2,0.0,0.0,0.6,3.6,1.5
430,Respiratory therapists,29-1126,Line item,135.8,154.2,0.1,0.1,18.4,13.6,9.4
431,Speech-language pathologists,29-1127,Line item,159.8,193.9,0.1,0.1,34.0,21.3,14.0
432,Exercise physiologists,29-1128,Line item,21.4,23.4,0.0,0.0,1.9,9.1,1.7
433,"Therapists, all other",29-1129,Line item,40.8,45.4,0.0,0.0,4.6,11.2,3.3
434,Veterinarians,29-1131,Line item,86.3,103.1,0.1,0.1,16.8,19.4,4.8
435,Registered nurses,29-1141,Line item,3130.6,3326.0,2.0,2.0,195.4,6.2,203.2
436,Nurse anesthetists,29-1151,Line item,45.2,50.5,0.0,0.0,5.3,11.8,2.9
437,Nurse midwives,29-1161,Line item,8.1,8.7,0.0,0.0,0.6,7.5,0.5
438,Nurse practitioners,29-1171,Line item,246.7,359.4,0.2,0.2,112.7,45.7,26.8
439,Audiologists,29-1181,Line item,14.6,16.1,0.0,0.0,1.5,10.4,0.8
441,Anesthesiologists,29-1211,Line item,34.1,34.5,0.0,0.0,0.4,1.1,1.0
442,Cardiologists,29-1212,Line item,20.3,20.9,0.0,0.0,0.6,2.8,0.6
443,Dermatologists,29-1213,Line item,10.1,10.4,0.0,0.0,0.3,3.1,0.3
444,Emergency medicine physicians,29-1214,Line item,39.5,40.8,0.0,0.0,1.3,3.3,1.3
445,Family medicine physicians,29-1215,Line item,112.2,115.9,0.1,0.1,3.7,3.3,3.6
446,General internal medicine physicians,29-1216,Line item,63.7,65.0,0.0,0.0,1.3,2.0,1.9
447,Neurologists,29-1217,Line item,7.8,8.0,0.0,0.0,0.2,3.0,0.2
448,Obstetricians and gynecologists,29-1218,Line item,23.6,24.0,0.0,0.0,0.4,1.7,0.7
449,"Pediatricians, general",29-1221,Line item,36.8,37.2,0.0,0.0,0.4,1.1,1.1
450,"Physicians, pathologists",29-1222,Line item,12.1,12.6,0.0,0.0,0.5,4.5,0.4
451,Psychiatrists,29-1223,Line item,27.9,30.3,0.0,0.0,2.4,8.7,1.1
452,Radiologists,29-1224,Line item,32.4,33.6,0.0,0.0,1.2,3.7,1.1
453,"Physicians, all other",29-1229,Line item,280.8,287.5,0.2,0.2,6.7,2.4,8.7
455,"Ophthalmologists, except pediatric",29-1241,Line item,12.0,12.8,0.0,0.0,0.8,6.4,0.4
456,"Orthopedic surgeons, except pediatric",29-1242,Line item,16.8,17.3,0.0,0.0,0.4,2.7,0.5
457,Pediatric surgeons,29-1243,Line item,0.9,0.9,0.0,0.0,0.0,2.2,0.0
458,"Surgeons, all other",29-1249,Line item,30.7,31.5,0.0,0.0,0.8,2.6,0.9
460,Acupuncturists,29-1291,Line item,23.7,24.6,0.0,0.0,0.9,3.9,1.7
461,Dental hygienists,29-1292,Line item,214.0,233.1,0.1,0.1,19.0,8.9,16.3
462,"Healthcare diagnosing or treating practitioners, all other",29-1299,Line item,33.9,33.9,0.0,0.0,0.0,0.0,2.5
464,Clinical laboratory technologists and technicians,29-2010,Line item,329.2,351.0,0.2,0.2,21.8,6.6,25.6
466,Cardiovascular technologists and technicians,29-2031,Line item,58.1,60.8,0.0,0.0,2.7,4.6,4.1
467,Diagnostic medical sonographers,29-2032,Line item,82.3,94.4,0.1,0.1,12.1,14.7,6.0
468,Nuclear medicine technologists,29-2033,Line item,18.9,19.2,0.0,0.0,0.3,1.7,1.0
469,Radiologic technologists and technicians,29-2034,Line item,222.8,236.9,0.1,0.1,14.1,6.3,13.8
470,Magnetic resonance imaging technologists,29-2035,Line item,41.2,44.1,0.0,0.0,3.0,7.2,2.8
471,Medical dosimetrists,29-2036,Line item,2.7,2.8,0.0,0.0,0.1,2.6,0.1
473,Emergency medical technicians,29-2042,Line item,163.4,174.8,0.1,0.1,11.4,7.0,13.9
474,Paramedics,29-2043,Line item,97.6,104.1,0.1,0.1,6.4,6.6,6.0
476,Dietetic technicians,29-2051,Line item,22.0,23.0,0.0,0.0,1.0,4.7,2.5
477,Pharmacy technicians,29-2052,Line item,447.3,469.7,0.3,0.3,22.4,5.0,43.5
478,Psychiatric technicians,29-2053,Line item,98.0,108.6,0.1,0.1,10.6,10.9,9.9
479,Surgical technologists,29-2055,Line item,110.7,117.2,0.1,0.1,6.5,5.9,8.3
480,Veterinary technologists and technicians,29-2056,Line item,122.8,146.9,0.1,0.1,24.1,19.6,15.5
481,Ophthalmic medical technicians,29-2057,Line item,67.2,77.1,0.0,0.0,9.9,14.7,8.7
482,Licensed practical and licensed vocational nurses,29-2061,Line item,657.2,698.5,0.4,0.4,41.3,6.3,58.8
483,Medical records specialists,29-2072,Line item,186.4,198.7,0.1,0.1,12.3,6.6,14.9
484,"Opticians, dispensing",29-2081,Line item,74.8,77.5,0.0,0.0,2.8,3.7,6.7
486,Orthotists and prosthetists,29-2091,Line item,11.1,13.0,0.0,0.0,1.9,16.8,1.0
487,Hearing aid specialists,29-2092,Line item,11.3,13.1,0.0,0.0,1.8,15.7,1.0
488,"Health technologists and technicians, all other",29-2099,Line item,148.0,157.9,0.1,0.1,9.9,6.7,11.8
490,Health information technologists and medical registrars,29-9021,Line item,39.9,46.9,0.0,0.0,7.0,17.4,3.4
492,Athletic trainers,29-9091,Line item,29.4,34.5,0.0,0.0,5.1,17.5,2.5
493,Genetic counselors,29-9092,Line item,2.9,3.5,0.0,0.0,0.5,18.2,0.3
494,Surgical assistants,29-9093,Line item,18.0,19.2,0.0,0.0,1.2,6.4,1.3
495,"Healthcare practitioners and technical workers, all other",29-9099,Line item,46.6,49.2,0.0,0.0,2.7,5.7,3.3
498,Home health and personal care aides,31-1120,Line item,3636.9,4560.9,2.3,2.7,924.0,25.4,711.7
500,Nursing assistants,31-1131,Line item,1343.7,1406.4,0.8,0.8,62.7,4.7,212.7
501,Orderlies,31-1132,Line item,46.2,48.3,0.0,0.0,2.2,4.7,7.5
502,Psychiatric aides,31-1133,Line item,41.0,42.9,0.0,0.0,1.9,4.6,6.7
505,Occupational therapy assistants,31-2011,Line item,43.4,54.5,0.0,0.0,11.0,25.4,8.7
506,Occupational therapy aides,31-2012,Line item,3.5,4.0,0.0,0.0,0.5,13.6,0.6
508,Physical therapist assistants,31-2021,Line item,96.5,122.1,0.1,0.1,25.6,26.5,17.9
509,Physical therapist aides,31-2022,Line item,44.2,52.6,0.0,0.0,8.3,18.8,7.6
511,Massage therapists,31-9011,Line item,149.9,179.9,0.1,0.1,29.9,20.0,25.2
513,Dental assistants,31-9091,Line item,358.6,388.7,0.2,0.2,30.1,8.4,56.4
514,Medical assistants,31-9092,Line item,743.5,861.3,0.5,0.5,117.8,15.8,123.0
515,Medical equipment preparers,31-9093,Line item,62.6,66.4,0.0,0.0,3.7,6.0,9.5
516,Medical transcriptionists,31-9094,Line item,59.6,55.7,0.0,0.0,-3.9,-6.5,9.3
517,Pharmacy aides,31-9095,Line item,44.6,43.3,0.0,0.0,-1.3,-2.9,7.5
518,Veterinary assistants and laboratory animal caretakers,31-9096,Line item,103.5,123.5,0.1,0.1,20.0,19.4,23.9
519,Phlebotomists,31-9097,Line item,135.5,149.4,0.1,0.1,13.9,10.2,21.5
520,"Healthcare support workers, all other",31-9099,Line item,112.6,120.0,0.1,0.1,7.4,6.6,17.2
524,First-line supervisors of correctional officers,33-1011,Line item,55.9,52.6,0.0,0.0,-3.3,-5.9,4.3
525,First-line supervisors of police and detectives,33-1012,Line item,132.3,136.1,0.1,0.1,3.7,2.8,9.3
526,First-line supervisors of firefighting and prevention workers,33-1021,Line item,82.8,86.1,0.1,0.1,3.4,4.1,6.5
528,First-line supervisors of security workers,33-1091,Line item,57.5,57.9,0.0,0.0,0.3,0.6,5.6
529,"First-line supervisors of protective service workers, all other",33-1099,Line item,24.9,26.3,0.0,0.0,1.4,5.8,2.6
531,Firefighters,33-2011,Line item,326.1,340.0,0.2,0.2,13.9,4.3,28.0
533,Fire inspectors and investigators,33-2021,Line item,15.5,15.9,0.0,0.0,0.5,3.1,1.5
534,Forest fire inspectors and prevention specialists,33-2022,Line item,2.9,3.4,0.0,0.0,0.6,19.4,0.3
537,Bailiffs,33-3011,Line item,16.8,16.2,0.0,0.0,-0.6,-3.8,2.1
538,Correctional officers and jailers,33-3012,Line item,402.2,360.6,0.3,0.2,-41.6,-10.3,31.2
539,Detectives and criminal investigators,33-3021,Line item,112.9,112.0,0.1,0.1,-0.8,-0.7,8.8
540,Fish and game wardens,33-3031,Line item,6.9,6.7,0.0,0.0,-0.2,-3.5,0.7
541,Parking enforcement workers,33-3041,Line item,8.6,5.4,0.0,0.0,-3.2,-37.1,0.4
543,Police and sheriff's patrol officers,33-3051,Line item,684.9,706.4,0.4,0.4,21.5,3.1,58.7
544,Transit and railroad police,33-3052,Line item,3.5,3.6,0.0,0.0,0.1,3.2,0.3
546,Animal control workers,33-9011,Line item,11.9,12.5,0.0,0.0,0.6,4.8,1.0
547,Private detectives and investigators,33-9021,Line item,37.0,39.1,0.0,0.0,2.1,5.6,3.7
549,Gambling surveillance officers and gambling investigators,33-9031,Line item,9.5,10.3,0.0,0.0,0.8,8.5,1.4
550,Security guards,33-9032,Line item,1077.7,1114.9,0.7,0.7,37.2,3.4,154.5
552,Crossing guards and flaggers,33-9091,Line item,85.1,92.9,0.1,0.1,7.8,9.2,20.0
553,"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,120.8,140.7,0.1,0.1,19.9,16.4,36.2
554,Transportation security screeners,33-9093,Line item,51.6,50.9,0.0,0.0,-0.7,-1.4,4.6
555,School bus monitors,33-9094,Line item,53.5,57.1,0.0,0.0,3.6,6.7,11.6
556,"Protective service workers, all other",33-9099,Line item,101.3,107.2,0.1,0.1,5.8,5.8,27.9
559,Chefs and head cooks,35-1011,Line item,152.8,176.3,0.1,0.1,23.6,15.4,24.3
560,First-line supervisors of food preparation and serving workers,35-1012,Line item,1093.1,1238.7,0.7,0.7,145.7,13.3,196.7
563,"Cooks, fast food",35-2011,Line item,792.3,723.2,0.5,0.4,-69.1,-8.7,109.4
564,"Cooks, institution and cafeteria",35-2012,Line item,410.1,436.0,0.3,0.3,25.9,6.3,67.5
565,"Cooks, private household",35-2013,Line item,41.4,40.7,0.0,0.0,-0.7,-1.7,6.2
566,"Cooks, restaurant",35-2014,Line item,1255.6,1715.6,0.8,1.0,459.9,36.6,274.0
567,"Cooks, short order",35-2015,Line item,129.8,131.1,0.1,0.1,1.3,1.0,20.1
568,"Cooks, all other",35-2019,Line item,19.5,21.4,0.0,0.0,1.9,9.7,3.3
569,Food preparation workers,35-2021,Line item,817.4,835.1,0.5,0.5,17.7,2.2,145.8
571,Bartenders,35-3011,Line item,514.0,606.0,0.3,0.4,92.0,17.9,105.3
572,Fast food and counter workers,35-3023,Line item,3195.6,3438.8,2.0,2.1,243.2,7.6,741.4
573,Waiters and waitresses,35-3031,Line item,1904.4,2101.4,1.2,1.3,197.0,10.3,425.8
574,"Food servers, nonrestaurant",35-3041,Line item,247.5,264.8,0.2,0.2,17.3,7.0,42.4
576,Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,355.2,415.1,0.2,0.2,59.9,16.9,76.1
577,Dishwashers,35-9021,Line item,398.2,437.6,0.3,0.3,39.4,9.9,74.8
578,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,347.7,400.3,0.2,0.2,52.6,15.1,95.2
579,"Food preparation and serving related workers, all other",35-9099,Line item,87.3,99.5,0.1,0.1,12.3,14.1,22.5
582,First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,253.0,266.7,0.2,0.2,13.7,5.4,31.1
583,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,217.6,224.7,0.1,0.1,7.1,3.3,23.6
586,"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,2298.4,2383.9,1.5,1.4,85.5,3.7,335.5
587,Maids and housekeeping cleaners,37-2012,Line item,1237.4,1353.8,0.8,0.8,116.4,9.4,193.5
588,"Building cleaning workers, all other",37-2019,Line item,19.1,19.7,0.0,0.0,0.6,3.3,2.8
589,Pest control workers,37-2021,Line item,90.6,96.7,0.1,0.1,6.1,6.8,13.3
591,Landscaping and groundskeeping workers,37-3011,Line item,1191.6,1248.5,0.8,0.8,56.9,4.8,164.5
592,"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,27.6,29.2,0.0,0.0,1.6,5.8,3.8
593,Tree trimmers and pruners,37-3013,Line item,63.7,65.9,0.0,0.0,2.1,3.4,9.1
594,"Grounds maintenance workers, all other",37-3019,Line item,16.1,16.8,0.0,0.0,0.7,4.5,2.2
598,First-line supervisors of gambling services workers,39-1013,Line item,26.4,30.4,0.0,0.0,4.0,15.0,3.8
599,"First-line supervisors of entertainment and recreation workers, except gambling services",39-1014,Line item,97.6,112.0,0.1,0.1,14.5,14.8,14.2
600,First-line supervisors of personal service workers,39-1022,Line item,156.5,176.8,0.1,0.1,20.3,13.0,22.3
602,Animal trainers,39-2011,Line item,52.9,67.2,0.0,0.0,14.3,27.1,10.6
603,Animal caretakers,39-2021,Line item,290.7,377.6,0.2,0.2,86.9,29.9,70.4
606,Gambling dealers,39-3011,Line item,68.5,81.6,0.0,0.0,13.1,19.2,14.1
607,Gambling and sports book writers and runners,39-3012,Line item,8.0,8.1,0.0,0.0,0.1,0.9,1.4
608,"Gambling service workers, all other",39-3019,Line item,11.6,13.9,0.0,0.0,2.2,19.2,2.4
609,Motion picture projectionists,39-3021,Line item,2.0,2.8,0.0,0.0,0.8,40.3,0.7
610,"Ushers, lobby attendants, and ticket takers",39-3031,Line item,63.2,88.8,0.0,0.1,25.6,40.5,24.1
612,Amusement and recreation attendants,39-3091,Line item,286.5,324.9,0.2,0.2,38.4,13.4,84.8
613,Costume attendants,39-3092,Line item,3.9,4.6,0.0,0.0,0.7,18.9,1.2
614,"Locker room, coatroom, and dressing room attendants",39-3093,Line item,10.5,12.0,0.0,0.0,1.4,13.5,3.1
615,"Entertainment attendants and related workers, all other",39-3099,Line item,4.7,5.8,0.0,0.0,1.1,23.2,1.5
618,Embalmers,39-4011,Line item,4.3,4.4,0.0,0.0,0.1,3.5,0.7
619,Crematory operators,39-4012,Line item,2.1,2.3,0.0,0.0,0.2,8.6,0.4
620,Funeral attendants,39-4021,Line item,34.0,36.9,0.0,0.0,2.9,8.4,6.0
621,"Morticians, undertakers, and funeral arrangers",39-4031,Line item,27.4,29.9,0.0,0.0,2.5,9.0,4.3
624,Barbers,39-5011,Line item,50.2,54.4,0.0,0.0,4.2,8.3,6.6
625,"Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,558.7,619.5,0.4,0.4,60.8,10.9,87.2
627,"Makeup artists, theatrical and performance",39-5091,Line item,4.4,4.7,0.0,0.0,0.3,7.0,0.7
628,Manicurists and pedicurists,39-5092,Line item,163.6,200.3,0.1,0.1,36.6,22.4,26.6
629,Shampooers,39-5093,Line item,21.2,23.5,0.0,0.0,2.2,10.6,3.5
630,Skincare specialists,39-5094,Line item,80.5,93.9,0.1,0.1,13.4,16.7,13.5
632,Baggage porters and bellhops,39-6011,Line item,21.7,26.0,0.0,0.0,4.2,19.4,4.1
633,Concierges,39-6012,Line item,35.0,39.0,0.0,0.0,3.9,11.2,6.1
635,Tour and travel guides,39-7010,Line item,43.4,50.0,0.0,0.0,6.6,15.3,9.6
637,Childcare workers,39-9011,Line item,949.0,1010.6,0.6,0.6,61.6,6.5,170.1
639,Exercise trainers and group fitness instructors,39-9031,Line item,306.4,364.2,0.2,0.2,57.8,18.9,65.5
640,Recreation workers,39-9032,Line item,279.6,307.7,0.2,0.2,28.1,10.0,61.7
641,Residential advisors,39-9041,Line item,99.3,109.2,0.1,0.1,9.9,10.0,18.9
642,"Personal care and service workers, all other",39-9099,Line item,104.4,130.4,0.1,0.1,26.0,24.9,22.6
645,First-line supervisors of retail sales workers,41-1011,Line item,1505.7,1427.5,1.0,0.9,-78.2,-5.2,153.0
646,First-line supervisors of non-retail sales workers,41-1012,Line item,406.9,405.5,0.3,0.2,-1.4,-0.3,37.1
649,Cashiers,41-2011,Line item,3371.6,3036.0,2.1,1.8,-335.7,-10.0,570.7
650,Gambling change persons and booth cashiers,41-2012,Line item,17.8,17.4,0.0,0.0,-0.4,-2.3,3.3
652,Counter and rental clerks,41-2021,Line item,391.4,408.6,0.2,0.2,17.3,4.4,50.6
653,Parts salespersons,41-2022,Line item,270.5,280.1,0.2,0.2,9.7,3.6,35.6
654,Retail salespersons,41-2031,Line item,3855.2,3847.5,2.4,2.3,-7.8,-0.2,558.8
656,Advertising sales agents,41-3011,Line item,100.7,92.7,0.1,0.1,-8.0,-7.9,10.9
657,Insurance sales agents,41-3021,Line item,523.2,556.2,0.3,0.3,32.9,6.3,52.7
658,"Securities, commodities, and financial services sales agents",41-3031,Line item,466.9,514.5,0.3,0.3,47.7,10.2,46.6
659,Travel agents,41-3041,Line item,46.2,55.3,0.0,0.0,9.1,19.7,7.5
660,"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,1063.9,1135.3,0.7,0.7,71.4,6.7,125.3
662,"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,280.7,295.1,0.2,0.2,14.4,5.1,30.4
663,"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,1316.9,1365.8,0.8,0.8,48.9,3.7,139.7
666,Demonstrators and product promoters,41-9011,Line item,46.2,47.3,0.0,0.0,1.1,2.4,8.6
667,Models,41-9012,Line item,2.4,2.6,0.0,0.0,0.2,9.2,0.5
669,Real estate brokers,41-9021,Line item,123.1,130.2,0.1,0.1,7.1,5.7,12.1
670,Real estate sales agents,41-9022,Line item,438.9,462.0,0.3,0.3,23.1,5.3,42.8
671,Sales engineers,41-9031,Line item,60.7,64.1,0.0,0.0,3.4,5.7,6.9
672,Telemarketers,41-9041,Line item,115.7,94.7,0.1,0.1,-21.0,-18.2,13.3
674,"Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,54.7,49.0,0.0,0.0,-5.7,-10.4,6.1
675,"Sales and related workers, all other",41-9099,Line item,260.5,268.0,0.2,0.2,7.5,2.9,36.6
678,First-line supervisors of office and administrative support workers,43-1011,Line item,1521.8,1493.5,1.0,0.9,-28.3,-1.9,159.6
680,"Switchboard operators, including answering service",43-2011,Line item,49.0,37.2,0.0,0.0,-11.8,-24.0,4.0
681,Telephone operators,43-2021,Line item,4.0,3.0,0.0,0.0,-1.0,-24.5,0.4
682,"Communications equipment operators, all other",43-2099,Line item,1.6,1.7,0.0,0.0,0.1,3.3,0.2
684,Bill and account collectors,43-3011,Line item,215.4,197.9,0.1,0.1,-17.5,-8.1,22.1
685,Billing and posting clerks,43-3021,Line item,445.3,450.0,0.3,0.3,4.7,1.1,51.5
686,"Bookkeeping, accounting, and auditing clerks",43-3031,Line item,1707.8,1630.6,1.1,1.0,-77.2,-4.5,197.6
687,Gambling cage workers,43-3041,Line item,11.6,11.6,0.0,0.0,0.0,0.3,1.3
688,Payroll and timekeeping clerks,43-3051,Line item,157.7,133.9,0.1,0.1,-23.8,-15.1,13.8
689,Procurement clerks,43-3061,Line item,63.9,59.6,0.0,0.0,-4.3,-6.8,5.8
690,Tellers,43-3071,Line item,378.0,334.3,0.2,0.2,-43.7,-11.6,35.1
691,"Financial clerks, all other",43-3099,Line item,31.9,33.3,0.0,0.0,1.4,4.4,3.8
693,Brokerage clerks,43-4011,Line item,41.0,38.9,0.0,0.0,-2.1,-5.1,4.5
694,Correspondence clerks,43-4021,Line item,7.8,7.6,0.0,0.0,-0.2,-2.1,0.9
695,"Court, municipal, and license clerks",43-4031,Line item,156.8,159.8,0.1,0.1,3.0,1.9,18.3
696,"Credit authorizers, checkers, and clerks",43-4041,Line item,17.3,16.6,0.0,0.0,-0.7,-3.9,1.7
697,Customer service representatives,43-4051,Line item,2898.9,2793.6,1.8,1.7,-105.3,-3.6,389.4
698,"Eligibility interviewers, government programs",43-4061,Line item,156.9,156.9,0.1,0.1,0.0,0.0,15.4
699,File clerks,43-4071,Line item,93.4,82.2,0.1,0.0,-11.1,-11.9,10.0
700,"Hotel, motel, and resort desk clerks",43-4081,Line item,238.8,273.1,0.2,0.2,34.3,14.4,49.2
701,"Interviewers, except eligibility and loan",43-4111,Line item,176.3,161.7,0.1,0.1,-14.6,-8.3,20.7
702,"Library assistants, clerical",43-4121,Line item,82.5,79.5,0.1,0.0,-3.1,-3.7,13.3
703,Loan interviewers and clerks,43-4131,Line item,247.0,245.4,0.2,0.1,-1.7,-0.7,23.3
704,New accounts clerks,43-4141,Line item,41.7,36.9,0.0,0.0,-4.8,-11.6,3.9
705,Order clerks,43-4151,Line item,143.9,119.7,0.1,0.1,-24.2,-16.8,13.0
706,"Human resources assistants, except payroll and timekeeping",43-4161,Line item,106.1,101.3,0.1,0.1,-4.8,-4.5,11.2
707,Receptionists and information clerks,43-4171,Line item,1037.1,1041.4,0.7,0.6,4.3,0.4,142.3
708,Reservation and transportation ticket agents and travel clerks,43-4181,Line item,109.2,117.3,0.1,0.1,8.1,7.4,14.3
709,"Information and record clerks, all other",43-4199,Line item,165.6,169.8,0.1,0.1,4.2,2.6,20.1
711,Cargo and freight agents,43-5011,Line item,88.6,96.5,0.1,0.1,7.8,8.8,11.2
712,Couriers and messengers,43-5021,Line item,178.9,178.3,0.1,0.1,-0.6,-0.3,19.1
714,Public safety telecommunicators,43-5031,Line item,99.5,103.2,0.1,0.1,3.6,3.6,10.9
715,"Dispatchers, except police, fire, and ambulance",43-5032,Line item,202.9,203.0,0.1,0.1,0.1,0.1,20.7
716,"Meter readers, utilities",43-5041,Line item,24.5,21.8,0.0,0.0,-2.7,-10.9,1.6
718,Postal service clerks,43-5051,Line item,76.3,72.7,0.0,0.0,-3.6,-4.8,6.4
719,Postal service mail carriers,43-5052,Line item,322.9,307.4,0.2,0.2,-15.4,-4.8,22.8
720,"Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,107.9,97.7,0.1,0.1,-10.2,-9.4,8.9
721,"Production, planning, and expediting clerks",43-5061,Line item,377.9,396.8,0.2,0.2,18.9,5.0,44.8
722,"Shipping, receiving, and inventory clerks",43-5071,Line item,814.3,757.2,0.5,0.5,-57.1,-7.0,80.7
723,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,55.9,56.0,0.0,0.0,0.1,0.1,6.4
725,Executive secretaries and executive administrative assistants,43-6011,Line item,508.0,405.4,0.3,0.2,-102.6,-20.2,42.3
726,Legal secretaries and administrative assistants,43-6012,Line item,157.8,127.5,0.1,0.1,-30.4,-19.2,14.6
727,Medical secretaries and administrative assistants,43-6013,Line item,672.3,725.8,0.4,0.4,53.6,8.0,85.8
